node_label,value
87653,-0.0009712657
87674,-0.0011356806
87751,-0.00067814597
87774,-0.0008853548
87803,-0.00068680674
87817,-0.0007570278
87840,-0.0009089812
87904,-0.0012084466
87940,-0.0008233926
87975,-0.00096234697
88030,-0.0012127302
88060,-0.00068792544
88112,-0.00067813805
88241,-0.0009878738
88341,-0.0006789066
88343,-0.0007075279
88344,-0.0007330686
88417,-0.0007267966
88448,-0.00068705395
88477,-0.0011197092
88534,-0.0007917462
88614,-0.0008011897
88616,-0.00075051986
88658,-0.00070427376
88718,-0.0010412233
88720,-0.0006830102
88807,-0.00091706717
88888,-0.0006809354
88971,-0.0011816033
89006,-0.0009539864
89061,-0.0008781483
89087,-0.00068245427
89175,-0.0008450838
89178,-0.0007642311
89267,-0.0010144014
89401,-0.000833406
89586,-0.000580854
90140,-0.0006321688
90141,-0.00056376733
90142,-0.00054825045
90143,-0.00062293786
90180,-0.0006253043
90196,-0.0005672594
90317,-0.00061732554
90353,-0.0005948004
90376,-0.0006893035
90386,-0.0005821939
90387,-0.00051756867
90388,-0.0005351183
90389,-0.0005332196
90390,-0.00052575575
90391,-0.000521219
90392,-0.0005268191
90393,-0.0005455392
90394,-0.00051654223
90395,-0.00054584234
90447,-0.0005386317
90448,-0.00052412186
90449,-0.00054080336
90450,-0.0005246359
90451,-0.0005258826
90452,-0.0005517579
90453,-0.0005243397
90454,-0.00053364487
90455,-0.0005373026
90456,-0.0005323187
90457,-0.00053391885
90492,-0.0006120516
90499,-0.0006340263
90520,-0.00063842756
90532,-0.0006408698
90543,-0.0006394713
90550,-0.0005902223
90559,-0.0006324881
90589,-0.00067871675
90605,-0.0005247258
90607,-0.0005224277
90784,-0.00067572866
90811,-0.0005942992
90824,-0.0005617658
90825,-0.000705494
90829,-0.0006369881
90866,-0.000669682
90992,-0.00070377556
91014,-0.0005813864
91017,-0.00056399393
91030,-0.000812623
91033,-0.00054627436
91035,-0.00055441656
91040,-0.00065023825
91042,-0.00052276166
91045,-0.0005935559
91048,-0.000578075
91059,-0.00058036164
91061,-0.00055581477
91064,-0.0005540232
91065,-0.0006478789
91066,-0.00057259254
91068,-0.0007680739
91071,-0.00054142904
91073,-0.00059356616
91076,-0.00061854394
91081,-0.0006717388
91086,-0.00061395316
91103,-0.00063066155
91120,-0.00058834086
91128,-0.0006376852
91131,-0.00051719585
91140,-0.0006010052
91148,-0.00058253785
91154,-0.00057131884
91192,-0.00058514084
91193,-0.00065342436
91194,-0.00063976564
91199,-0.0006199452
91202,-0.0005685262
91203,-0.00060726854
91205,-0.00053993554
91212,-0.00071142655
91214,-0.00076071115
91245,-0.00055522
91246,-0.000564163
91264,-0.0006257087
91270,-0.0005236814
91271,-0.0005368901
91279,-0.00082610163
91285,-0.0006700901
91287,-0.00068203366
91294,-0.0007005026
91307,-0.0005188538
91325,-0.0007219628
91363,-0.0005586015
91377,-0.0008347727
91387,-0.0005614384
91417,-0.0006122667
91442,-0.0006272092
91447,-0.00056860514
91451,-0.00063133147
91481,-0.0006079104
91496,-0.000602305
91504,-0.0005781797
91519,-0.0006219951
91556,-0.0005782407
91573,-0.0006449064
91577,-0.0005500942
91593,-0.0005671099
91596,-0.00065485586
91599,-0.00058931764
91605,-0.0005509549
91612,-0.0008059982
91614,-0.00054327556
91631,-0.0005513806
91670,-0.0006160311
91674,-0.0006692581
91676,-0.0005907264
91689,-0.00072105014
91695,-0.0006369571
91728,-0.000903473
91766,-0.00060606754
91822,-0.0007426026
91894,-0.0005809336
91905,-0.0005273719
91916,-0.0006407568
91921,-0.0006783841
91979,-0.00064451457
92001,-0.00091761677
